protein_name,subcellular_location,cellular_location,sequence_length
Q9SKN2,Cytoplasm,S,434
P14136,Cytoplasm,S,432
Q9XUB2,Cytoplasm,S,468
Q9BYJ4,Cytoplasm,S,488
Q5GLZ8,Cytoplasm,S,1057
P28289,Cytoplasm,S,359
A0JMY4,Cytoplasm,S,531
P0C2X8,Cytoplasm,S,363
P38219,Cytoplasm,S,394
Q03569,Cytoplasm,S,525
Q9ZNR6,Cytoplasm,S,314
O95379,Cytoplasm,S,198
P80895,Cytoplasm,S,227
O74815,Cytoplasm,S,413
Q96NL8,Cytoplasm,S,207
Q2M329,Cytoplasm,S,555
Q6UBQ3,Cytoplasm,S,738
P0DMV9,Cytoplasm,S,641
P0DMV8,Cytoplasm,S,641
O81304,Cytoplasm,S,212
Q3UWR2,Cytoplasm,S,166
Q08I43,Cytoplasm,S,313
P47122,Cytoplasm,S,385
Q9SVM9,Cytoplasm,S,428
Q62834,Cytoplasm,S,336
Q86BW2,Cytoplasm,S,120
Q86V86,Cytoplasm,S,326
Q9EQC9,Cytoplasm,S,198
Q9SVC6,Cytoplasm,S,435
Q62234,Cytoplasm,S,1667
Q6IMN8,Cytoplasm,S,297
O64642,Cytoplasm,S,764
Q3I5F7,Cytoplasm,S,207
Q9GSX9,Cytoplasm,S,566
Q04004,Cytoplasm,S,230
Q04007,Cytoplasm,S,877
Q8CBY8,Cytoplasm,S,467
Q8GW31,Cytoplasm,S,373
P21576,Cytoplasm,S,704
Q19Q52,Cytoplasm,S,210
Q1MTR3,Cytoplasm,S,801
Q55DH8,Cytoplasm,S,692
P08670,Cytoplasm,S,466
O95396,Cytoplasm,S,460
Q9BVG3,Cytoplasm,S,475
P43573,Cytoplasm,S,796
Q5DM57,Cytoplasm,S,1755
P39729,Cytoplasm,S,369
Q8LFS6,Cytoplasm,S,441
Q9H469,Cytoplasm,S,300
P46988,Cytoplasm,S,109
Q9Y7Z8,Cytoplasm,S,1217
Q09JZ4,Cytoplasm,S,432
P43598,Cytoplasm,S,195
Q9SGU9,Cytoplasm,S,441
Q12314,Cytoplasm,S,213
P10383,Cytoplasm,S,853
P53080,Cytoplasm,S,175
Q04489,Cytoplasm,S,525
O13290,Cytoplasm,S,4196
Q9UTI8,Cytoplasm,S,106
O43066,Cytoplasm,S,953
Q5JT25,Cytoplasm,S,222
P19158,Cytoplasm,S,3079
Q9M350,Cytoplasm,S,745
P26696,Cytoplasm,S,361
P53550,Cytoplasm,S,970
P53221,Cytoplasm,S,127
Q9Y3P9,Cytoplasm,S,1069
Q6UWE0,Cytoplasm,S,723
P57721,Cytoplasm,S,371
P0CX55,Cytoplasm,S,146
Q9W032,Cytoplasm,S,684
Q2RAK2,Cytoplasm,S,527
P0CX50,Cytoplasm,S,186
Q6XQN6,Cytoplasm,S,538
P0CX52,Cytoplasm,S,143
P0CX53,Cytoplasm,S,165
Q9ZUC2,Cytoplasm,S,258
Q9VL52,Cytoplasm,S,1476
P54681,Cytoplasm,S,367
Q8CDK2,Cytoplasm,S,862
Q86TX2,Cytoplasm,S,421
Q8IXV7,Cytoplasm,S,354
Q12229,Cytoplasm,S,455
C9JR72,Cytoplasm,S,458
P53124,Cytoplasm,S,433
Q7Z7B0,Cytoplasm,S,1213
Q13310,Cytoplasm,S,644
P49445,Cytoplasm,S,359
P12945,Cytoplasm,S,854
Q8VI04,Cytoplasm,S,333
Q8IWZ3,Cytoplasm,S,2542
Q5K651,Cytoplasm,S,1589
Q3V089,Cytoplasm,S,1013
P0CX54,Cytoplasm,S,165
O94717,Cytoplasm,S,956
Q9LXX6,Cytoplasm,S,790
O13728,Cytoplasm,S,621
Q3TTP0,Cytoplasm,S,639
Q9XF19,Cytoplasm,S,282
Q9LUL2,Cytoplasm,S,480
P0C6G6,Cytoplasm,S,132
P0CX51,Cytoplasm,S,143
Q9BEC7,Cytoplasm,S,319
P48008,Cytoplasm,S,412
Q9P6I2,Cytoplasm,S,476
Q49MG5,Cytoplasm,S,647
Q7Z2X4,Cytoplasm,S,250
Q9HCK5,Cytoplasm,S,861
Q498G2,Cytoplasm,S,1663
Q5A0M4,Cytoplasm,S,842
Q9URY4,Cytoplasm,S,583
Q9URY3,Cytoplasm,S,619
Q9URY1,Cytoplasm,S,672
Q10218,Cytoplasm,S,783
P84183,Cytoplasm,S,376
P50526,Cytoplasm,S,652
P50527,Cytoplasm,S,658
O74484,Cytoplasm,S,363
Q96GE4,Cytoplasm,S,821
O94245,Cytoplasm,S,421
Q67Z52,Cytoplasm,S,243
Q12044,Cytoplasm,S,265
P38738,Cytoplasm,S,679
P34808,Cytoplasm,S,472
F4IK01,Cytoplasm,S,299
P62081,Cytoplasm,S,194
Q8LAD0,Cytoplasm,S,255
Q3UJP5,Cytoplasm,S,209
Q96F86,Cytoplasm,S,508
Q9I8X5,Cytoplasm,S,313
Q06251,Cytoplasm,S,628
Q9D7V1,Cytoplasm,S,421
Q7TNC6,Cytoplasm,S,2112
Q6PD74,Cytoplasm,S,315
Q9CQ25,Cytoplasm,S,159
P40487,Cytoplasm,S,425
Q7T3U0,Cytoplasm,S,295
P40483,Cytoplasm,S,696
Q8L7Y8,Cytoplasm,S,1313
O74798,Cytoplasm,S,658
P39517,Cytoplasm,S,506
O94536,Cytoplasm,S,1327
Q500Y9,Cytoplasm,S,317
Q9SRV5,Cytoplasm,S,765
Q6PGN3,Cytoplasm,S,756
O94274,Cytoplasm,S,262
Q5H9J7,Cytoplasm,S,111
Q9ULC4,Cytoplasm,S,181
Q9LZ82,Cytoplasm,S,313
O54975,Cytoplasm,S,623
O74363,Cytoplasm,S,695
O54754,Cytoplasm,S,1333
O44740,Cytoplasm,S,280
Q78P75,Cytoplasm,S,89
Q9CQ07,Cytoplasm,S,262
Q1JQ73,Cytoplasm,S,337
Q07617,Cytoplasm,S,926
Q9US60,Cytoplasm,S,554
Q9UL18,Cytoplasm,S,857
P26263,Cytoplasm,S,563
Q5QE80,Cytoplasm,S,1334
Q9C099,Cytoplasm,S,1032
O94441,Cytoplasm,S,862
P50942,Cytoplasm,S,1183
Q08726,Cytoplasm,S,347
Q8CA72,Cytoplasm,S,597
Q9NNW5,Cytoplasm,S,1121
Q06673,Cytoplasm,S,1274
Q8GYX3,Cytoplasm,S,513
P78371,Cytoplasm,S,535
Q8NBC4,Cytoplasm,S,194
Q09855,Cytoplasm,S,506
Q9ULA0,Cytoplasm,S,475
Q8VCK3,Cytoplasm,S,451
Q6W3C0,Cytoplasm,S,440
Q5SW45,Cytoplasm,S,561
Q7TNR9,Cytoplasm,S,484
A8K8P3,Cytoplasm,S,1242
Q8IRY7,Cytoplasm,S,494
Q9VNP5,Cytoplasm,S,1059
P53949,Cytoplasm,S,197
Q9NZJ4,Cytoplasm,S,4579
D2XV59,Cytoplasm,S,669
Q4V7Y7,Cytoplasm,S,655
Q9NFU0,Cytoplasm,S,684
Q9QYP6,Cytoplasm,S,405
O76337,Cytoplasm,S,492
P18091,Cytoplasm,S,924
P53892,Cytoplasm,S,351
Q8C142,Cytoplasm,S,308
Q940X9,Cytoplasm,S,826
Q9S816,Cytoplasm,S,521
A3AZ88,Cytoplasm,S,84
Q7TSH4,Cytoplasm,S,1004
O15033,Cytoplasm,S,823
Q5JTW2,Cytoplasm,S,689
Q9NJE9,Cytoplasm,S,383
Q9JMH6,Cytoplasm,S,613
Q9FE46,Cytoplasm,S,214
Q5JR59,Cytoplasm,S,1369
O64587,Cytoplasm,S,206
P10155,Cytoplasm,S,538
Q10179,Cytoplasm,S,652
P46086,Cytoplasm,S,378
P81274,Cytoplasm,S,684
O60058,Cytoplasm,S,809
E1BC52,Cytoplasm,S,207
P35573,Cytoplasm,S,1532
Q9CA28,Cytoplasm,S,321
Q9VCU7,Cytoplasm,S,691
Q1ENB6,Cytoplasm,S,484
Q8MPQ7,Cytoplasm,S,389
O14030,Cytoplasm,S,689
Q9C9X0,Cytoplasm,S,622
Q9SJ20,Cytoplasm,S,816
Q62688,Cytoplasm,S,1096
Q12221,Cytoplasm,S,1075
Q04067,Cytoplasm,S,274
Q9URV8,Cytoplasm,S,357
F4HZB2,Cytoplasm,S,3601
Q3E841,Cytoplasm,S,98
P0CX43,Cytoplasm,S,217
A0A8M2,Cytoplasm,S,471
P0CX47,Cytoplasm,S,156
P0CX45,Cytoplasm,S,254
P0CX44,Cytoplasm,S,217
P0CX48,Cytoplasm,S,156
O80438,Cytoplasm,S,190
Q9ZWR8,Cytoplasm,S,469
P10081,Cytoplasm,S,395
Q96JN8,Cytoplasm,S,1562
Q9H5X1,Cytoplasm,S,160
O14965,Cytoplasm,S,403
Q9UFN0,Cytoplasm,S,247
Q9T0A7,Cytoplasm,S,350
Q02748,Cytoplasm,S,403
Q08910,Cytoplasm,S,206
P89886,Cytoplasm,S,181
Q6QNY1,Cytoplasm,S,142
O48724,Cytoplasm,S,807
Q12230,Cytoplasm,S,341
Q8WQ99,Cytoplasm,S,407
Q5SGK3,Cytoplasm,S,1345
O75011,Cytoplasm,S,652
Q6DFA8,Cytoplasm,S,509
O13426,Cytoplasm,S,470
P38840,Cytoplasm,S,513
Q96MA6,Cytoplasm,S,479
P98081,Cytoplasm,S,2224
Q3UND0,Cytoplasm,S,358
F4I3Z5,Cytoplasm,S,1168
Q10199,Cytoplasm,S,670
Q94FN2,Cytoplasm,S,1978
P11441,Cytoplasm,S,157
P36059,Cytoplasm,S,337
P36505,Cytoplasm,S,1123
O15539-2,Cytoplasm,S,73
Q8WXX0,Cytoplasm,S,4024
Q5U2R6,Cytoplasm,S,304
Q13432,Cytoplasm,S,240
Q9P6J6,Cytoplasm,S,832
O23945,Cytoplasm,S,556
O60303,Cytoplasm,S,1618
Q9SJF3,Cytoplasm,S,367
Q9SRL4,Cytoplasm,S,701
Q94K05,Cytoplasm,S,549
Q08992,Cytoplasm,S,237
Q8K2Y9,Cytoplasm,S,453
P10622,Cytoplasm,S,106
Q9BRA2,Cytoplasm,S,123
Q86WH2,Cytoplasm,S,238
O74953,Cytoplasm,S,699
Q9UBP9,Cytoplasm,S,304
Q9JJ11,Cytoplasm,S,631
P21550,Cytoplasm,S,434
Q9VVI3,Cytoplasm,S,1007
Q9VVI2,Cytoplasm,S,680
Q86S05,Cytoplasm,S,1375
Q59VM7,Cytoplasm,S,254
Q8NHQ1,Cytoplasm,S,597
B6VQA1,Cytoplasm,S,390
Q20898,Cytoplasm,S,761
Q9LTT8,Cytoplasm,S,1344
O76922,Cytoplasm,S,866
Q9UT28,Cytoplasm,S,255
Q8N7A1,Cytoplasm,S,406
Q9USL5,Cytoplasm,S,390
Q96L34,Cytoplasm,S,752
Q6P5D4,Cytoplasm,S,1140
P41888,Cytoplasm,S,569
Q08930,Cytoplasm,S,360
P0C2H9,Cytoplasm,S,113
P40494,Cytoplasm,S,810
P0C2H7,Cytoplasm,S,136
P0C2H6,Cytoplasm,S,136
P84086,Cytoplasm,S,134
P40188,Cytoplasm,S,164
Q9M0F9,Cytoplasm,S,473
Q4VRV8,Cytoplasm,S,551
O94525,Cytoplasm,S,1157
P38697,Cytoplasm,S,523
P38690,Cytoplasm,S,423
Q8L5R3,Cytoplasm,S,1254
Q9SU29,Cytoplasm,S,873
Q06409,Cytoplasm,S,1932
Q06408,Cytoplasm,S,635
Q9P3W5,Cytoplasm,S,868
Q06698,Cytoplasm,S,1435
Q56Y85,Cytoplasm,S,439
Q9Z2R9,Cytoplasm,S,619
Q9LZ98,Cytoplasm,S,328
Q33DV3,Cytoplasm,S,457
P29762,Cytoplasm,S,137
P38277,Cytoplasm,S,524
P48009,Cytoplasm,S,380
Q12447,Cytoplasm,S,191
Q3UCV8,Cytoplasm,S,352
P30043,Cytoplasm,S,206
Q12449,Cytoplasm,S,350
Q679P3,Cytoplasm,S,416
Q86XJ1,Cytoplasm,S,694
P06787,Cytoplasm,S,147
Q08732,Cytoplasm,S,759
O74875,Cytoplasm,S,145
O42943,Cytoplasm,S,618
Q9UTR5,Cytoplasm,S,1158
O59731,Cytoplasm,S,355
Q9AVJ9,Cytoplasm,S,378
Q8IYX7,Cytoplasm,S,474
Q9JKB1,Cytoplasm,S,230
P38305,Cytoplasm,S,123
Q9UTR7,Cytoplasm,S,952
P38314,Cytoplasm,S,527
B9DGU7,Cytoplasm,S,267
O88751,Cytoplasm,S,298
Q8GYM3,Cytoplasm,S,423
A1Y9I9,Cytoplasm,S,258
P29508,Cytoplasm,S,390
Q9LYG3,Cytoplasm,S,588
Q09510,Cytoplasm,S,172
P47147,Cytoplasm,S,688
Q9V877,Cytoplasm,S,628
A8JF70,Cytoplasm,S,552
F4IIS5,Cytoplasm,S,1042
O75828,Cytoplasm,S,277
Q8TE04,Cytoplasm,S,598
P53933,Cytoplasm,S,587
Q9WV89,Cytoplasm,S,557
P53935,Cytoplasm,S,1240
Q5BGR2,Cytoplasm,S,791
O23304,Cytoplasm,S,487
Q8WYK0,Cytoplasm,S,555
Q9DCB4,Cytoplasm,S,807
Q9H7T9,Cytoplasm,S,357
P05319,Cytoplasm,S,106
P05318,Cytoplasm,S,106
O94282,Cytoplasm,S,335
Q9C8E6,Cytoplasm,S,843
Q6TEM9,Cytoplasm,S,472
Q12173,Cytoplasm,S,290
O80588,Cytoplasm,S,474
Q07825,Cytoplasm,S,749
Q54KF1,Cytoplasm,S,1158
P25853,Cytoplasm,S,498
Q91ZP9,Cytoplasm,S,389
P53844,Cytoplasm,S,350
Q54QT7,Cytoplasm,S,166
Q9Y7X7,Cytoplasm,S,266
P53849,Cytoplasm,S,153
Q14194,Cytoplasm,S,572
Q05193,Cytoplasm,S,864
A2AG06,Cytoplasm,S,965
F4I460,Cytoplasm,S,1500
Q99MZ8,Cytoplasm,S,263
P53965,Cytoplasm,S,281
Q8N0Z3,Cytoplasm,S,855
Q9Y4H4,Cytoplasm,S,160
O36014,Cytoplasm,S,467
O14040,Cytoplasm,S,927
Q9TW45,Cytoplasm,S,1192
O65570,Cytoplasm,S,974
O43548,Cytoplasm,S,720
P63041,Cytoplasm,S,134
P63040,Cytoplasm,S,134
P63047,Cytoplasm,S,284
Q9UBK8-2,Cytoplasm,S,698
Q9UBK8-3,Cytoplasm,S,58
Q8K394,Cytoplasm,S,1128
O22558,Cytoplasm,S,546
Q9FIE8,Cytoplasm,S,342
O64682,Cytoplasm,S,438
P32324,Cytoplasm,S,842
Q02979,Cytoplasm,S,1223
P41842,Cytoplasm,S,771
Q02753,Cytoplasm,S,160
Q9JI91,Cytoplasm,S,894
Q02754,Cytoplasm,S,198
Q76LL6,Cytoplasm,S,1578
Q8CDG1,Cytoplasm,S,971
Q9VGP6,Cytoplasm,S,194
P85968,Cytoplasm,S,483
Q8N3H0,Cytoplasm,S,131
Q5SW96,Cytoplasm,S,308
Q4P9P9,Cytoplasm,S,453
O75005,Cytoplasm,S,980
Q10180,Cytoplasm,S,326
Q9ULL8,Cytoplasm,S,1493
P40005,Cytoplasm,S,111
O94730,Cytoplasm,S,449
Q0WQ57,Cytoplasm,S,891
P36040,Cytoplasm,S,267
Q42605,Cytoplasm,S,351
Q02197,Cytoplasm,S,733
Q9VVX0,Cytoplasm,S,245
Q9MA55,Cytoplasm,S,668
Q5VZE5,Cytoplasm,S,725
Q9P6K0,Cytoplasm,S,475
A0JNT9,Cytoplasm,S,577
Q8BL48,Cytoplasm,S,810
Q6AY43,Cytoplasm,S,351
Q6Q6R3,Cytoplasm,S,243
P10986,Cytoplasm,S,376
Q10235,Cytoplasm,S,234
F4IV16,Cytoplasm,S,267
Q8NEX9,Cytoplasm,S,313
Q9BRF8,Cytoplasm,S,314
Q920M2,Cytoplasm,S,352
P05745,Cytoplasm,S,100
Q5ZC82,Cytoplasm,S,242
Q93YV0,Cytoplasm,S,877
Q9BUN5,Cytoplasm,S,200
Q99JY3,Cytoplasm,S,219
Q9NZD2,Cytoplasm,S,209
P41252,Cytoplasm,S,1262
Q9VVN4,Cytoplasm,S,846
A6BLY7,Cytoplasm,S,462
Q06278,Cytoplasm,S,1338
Q9NWX6,Cytoplasm,S,298
Q66GS9,Cytoplasm,S,1140
P34220,Cytoplasm,S,418
Q03758,Cytoplasm,S,920
Q9NR46,Cytoplasm,S,395
Q06504,Cytoplasm,S,195
A6H687,Cytoplasm,S,427
O94513,Cytoplasm,S,501
P50946,Cytoplasm,S,238
Q9BW04,Cytoplasm,S,601
O94518,Cytoplasm,S,544
Q924M7,Cytoplasm,S,423
Q96KP4,Cytoplasm,S,475
Q502W7,Cytoplasm,S,563
O59838,Cytoplasm,S,720
O70305,Cytoplasm,S,1285
Q8IUD6,Cytoplasm,S,432
P38689,Cytoplasm,S,320
Q86YV0,Cytoplasm,S,1011
P38260,Cytoplasm,S,290
F4JZC2,Cytoplasm,S,680
Q12453,Cytoplasm,S,761
Q8N8R7,Cytoplasm,S,260
O01775,Cytoplasm,S,357
Q504U0,Cytoplasm,S,113
Q7XB08,Cytoplasm,S,351
Q9NQR4,Cytoplasm,S,276
Q12690,Cytoplasm,S,199
Q06070,Cytoplasm,S,228
O74689,Cytoplasm,S,586
Q1PSW8,Cytoplasm,S,855
O42958,Cytoplasm,S,754
Q9NP86,Cytoplasm,S,173
Q9YGX5,Cytoplasm,S,559
P38315,Cytoplasm,S,674
Q04233,Cytoplasm,S,774
P52304,Cytoplasm,S,576
Q9NVX0,Cytoplasm,S,235
G5ECQ3,Cytoplasm,S,1077
Q9C0B0,Cytoplasm,S,810
Q11002,Cytoplasm,S,828
O01510,Cytoplasm,S,2322
Q3E7K4,Cytoplasm,S,59
Q09874,Cytoplasm,S,365
Q8MXI4,Cytoplasm,S,419
P83780,Cytoplasm,S,550
P18963,Cytoplasm,S,3092
P53145,Cytoplasm,S,640
P53924,Cytoplasm,S,522
Q9Z0U5,Cytoplasm,S,1333
Q9JHQ5,Cytoplasm,S,299
A8J6X7,Cytoplasm,S,645
Q10434,Cytoplasm,S,256
P00924,Cytoplasm,S,437
Q9UTK6,Cytoplasm,S,797
Q07834,Cytoplasm,S,825
Q5T5Y3,Cytoplasm,S,1602
A1ZAB5,Cytoplasm,S,1448
Q9M0Y9,Cytoplasm,S,156
Q9Y7Y8,Cytoplasm,S,811
P53327,Cytoplasm,S,1967
Q8SX86,Cytoplasm,S,314
Q9NRN7,Cytoplasm,S,309
Q86VQ3,Cytoplasm,S,553
Q86VQ0,Cytoplasm,S,697
O81644,Cytoplasm,S,976
O60078,Cytoplasm,S,431
O81643,Cytoplasm,S,909
P32643,Cytoplasm,S,299
Q8CI75,Cytoplasm,S,870
O60072,Cytoplasm,S,1935
Q8TER5,Cytoplasm,S,1519
O95835,Cytoplasm,S,1130
B5DF11,Cytoplasm,S,213
P35900,Cytoplasm,S,424
Q6PHQ8,Cytoplasm,S,725
P0C7Q2,Cytoplasm,S,107
B0BNN3,Cytoplasm,S,261
Q9JLI6,Cytoplasm,S,432
O36023,Cytoplasm,S,469
Q9JIM4,Cytoplasm,S,339
Q6NUP7,Cytoplasm,S,873
C7IVR4,Cytoplasm,S,2049
Q9D0M5,Cytoplasm,S,89
P63073,Cytoplasm,S,217
O94986,Cytoplasm,S,1710
Q8N137,Cytoplasm,S,903
Q9FF86,Cytoplasm,S,484
Q4G0U5,Cytoplasm,S,840
P26374,Cytoplasm,S,656
Q80SU3,Cytoplasm,S,361
Q9H3Y6,Cytoplasm,S,488
Q8TAX9,Cytoplasm,S,411
O22765,Cytoplasm,S,275
Q12213,Cytoplasm,S,244
Q9D0S4,Cytoplasm,S,285
Q6VTH5,Cytoplasm,S,218
P85971,Cytoplasm,S,257
P85973,Cytoplasm,S,289
Q99426,Cytoplasm,S,244
O13629,Cytoplasm,S,363
P41279,Cytoplasm,S,467
Q8CDD8,Cytoplasm,S,419
O43024,Cytoplasm,S,963
P11353,Cytoplasm,S,328
Q38SD2,Cytoplasm,S,2015
A9JRD8,Cytoplasm,S,525
P40017,Cytoplasm,S,923
Q9JMC1,Cytoplasm,S,1001
Q9UHR4,Cytoplasm,S,511
Q9NYS0,Cytoplasm,S,192
O04314,Cytoplasm,S,298
P48034,Cytoplasm,S,1339
A8J666,Cytoplasm,S,3081
P04449,Cytoplasm,S,155
Q3UP24,Cytoplasm,S,1024
Q9IA88,Cytoplasm,S,798
Q5XI73,Cytoplasm,S,204
Q95QC4,Cytoplasm,S,802
Q9UPZ3,Cytoplasm,S,1129
Q8WUN7,Cytoplasm,S,234
Q16584,Cytoplasm,S,847
O61235,Cytoplasm,S,497
G5DGA8,Cytoplasm,S,253
O94614,Cytoplasm,S,633
O14727,Cytoplasm,S,1248
A1Z7Z9,Cytoplasm,S,1134
Q08873,Cytoplasm,S,200
Q9S7H3,Cytoplasm,S,442
O74472,Cytoplasm,S,336
Q9VXH6,Cytoplasm,S,681
Q9N1F5,Cytoplasm,S,241
O61125,Cytoplasm,S,461
Q9UUJ1,Cytoplasm,S,390
O59679,Cytoplasm,S,525
Q3SY84,Cytoplasm,S,523
O59672,Cytoplasm,S,736
P38788,Cytoplasm,S,538
Q7Z569,Cytoplasm,S,592
Q03034,Cytoplasm,S,503
A8MTJ3,Cytoplasm,S,354
P47897,Cytoplasm,S,775
Q08911,Cytoplasm,S,376
P0CT22,Cytoplasm,S,376
Q6P7F1,Cytoplasm,S,635
O14618,Cytoplasm,S,274
Q9P0V9,Cytoplasm,S,454
Q9LK22,Cytoplasm,S,251
H9TB17,Cytoplasm,S,1332
Q5U259,Cytoplasm,S,326
O74945,Cytoplasm,S,1000
D4A770,Cytoplasm,S,552
Q9P7L4,Cytoplasm,S,221
Q6V1X1,Cytoplasm,S,898
Q8WZJ7,Cytoplasm,S,937
Q8CGY6,Cytoplasm,S,931
Q12463,Cytoplasm,S,433
P17174,Cytoplasm,S,413
Q9C037,Cytoplasm,S,500
P29348,Cytoplasm,S,354
Q96ED9,Cytoplasm,S,719
P45819,Cytoplasm,S,413
O94477,Cytoplasm,S,1516
O94474,Cytoplasm,S,1389
B0G0Y8,Cytoplasm,S,466
O60114,Cytoplasm,S,1428
O42923,Cytoplasm,S,490
Q75QN6,Cytoplasm,S,929
P47165,Cytoplasm,S,209
P47163,Cytoplasm,S,339
Q147X3,Cytoplasm,S,362
P47169,Cytoplasm,S,1442
Q5SW79,Cytoplasm,S,1584
P05089,Cytoplasm,S,322
O00743,Cytoplasm,S,305
Q8UVX0,Cytoplasm,S,858
Q9Y238,Cytoplasm,S,1755
Q9BRV8,Cytoplasm,S,207
P38254,Cytoplasm,S,753
Q9C102,Cytoplasm,S,2111
Q9C104,Cytoplasm,S,1076
Q23985,Cytoplasm,S,738
Q5JY77,Cytoplasm,S,1395
P23298,Cytoplasm,S,683
Q8VDD5,Cytoplasm,S,1960
P32525,Cytoplasm,S,599
Q9QX73,Cytoplasm,S,493
Q8CH77,Cytoplasm,S,1875
Q9USR3,Cytoplasm,S,1877
E9Q735,Cytoplasm,S,1028
Q09798,Cytoplasm,S,1088
Q9FZ80,Cytoplasm,S,346
C7AE94,Cytoplasm,S,235
Q9V3Z6,Cytoplasm,S,2167
Q96AZ1,Cytoplasm,S,226
O94266,Cytoplasm,S,551
Q9SRW7,Cytoplasm,S,208
O14192,Cytoplasm,S,474
Q550F6,Cytoplasm,S,308
Q8W2B8,Cytoplasm,S,355
Q9S823,Cytoplasm,S,905
Q92598,Cytoplasm,S,858
O13651,Cytoplasm,S,1064
Q05778,Cytoplasm,S,276
Q8TF74,Cytoplasm,S,440
Q8WVN8,Cytoplasm,S,375
Q05775,Cytoplasm,S,265
P43643,Cytoplasm,S,447
P35237,Cytoplasm,S,376
P35236,Cytoplasm,S,360
Q9QZR6,Cytoplasm,S,564
O60060,Cytoplasm,S,415
Q9SGY2,Cytoplasm,S,423
P87308,Cytoplasm,S,304
Q18510,Cytoplasm,S,190
Q05881,Cytoplasm,S,355
P53010,Cytoplasm,S,1115
P00359,Cytoplasm,S,332
Q61166,Cytoplasm,S,268
B2RX88,Cytoplasm,S,1205
Q86XT4,Cytoplasm,S,487
Q09312,Cytoplasm,S,632
Q96JB8,Cytoplasm,S,637
Q8BUR9,Cytoplasm,S,78
O23512,Cytoplasm,S,262
Q8IYB7,Cytoplasm,S,885
Q8CFW7,Cytoplasm,S,1633
O75663,Cytoplasm,S,272
Q96LR2,Cytoplasm,S,239
G5EC24,Cytoplasm,S,668
P12844,Cytoplasm,S,1969
Q9FIK0,Cytoplasm,S,444
Q10447,Cytoplasm,S,665
P00958,Cytoplasm,S,751
Q9BSL1,Cytoplasm,S,405
Q9JI78,Cytoplasm,S,651
Q12265,Cytoplasm,S,496
Q9D0P7,Cytoplasm,S,329
P42286,Cytoplasm,S,1379
O14306,Cytoplasm,S,1191
Q9UKF7,Cytoplasm,S,332
P38892,Cytoplasm,S,291
Q9XXU9,Cytoplasm,S,384
Q8IWV7,Cytoplasm,S,1749
Q7TQM5,Cytoplasm,S,699
Q9FUH9,Cytoplasm,S,386
Q05791,Cytoplasm,S,360
Q6DUB4,Cytoplasm,S,206
P57796,Cytoplasm,S,275
Q8K288,Cytoplasm,S,186
Q5SVD0,Cytoplasm,S,216
P02994,Cytoplasm,S,458
O60085,Cytoplasm,S,426
O22975,Cytoplasm,S,418
O60086,Cytoplasm,S,289
Q14152,Cytoplasm,S,1382
Q9LDN0,Cytoplasm,S,1292
Q1K9C2,Cytoplasm,S,1473
Q9SQ68,Cytoplasm,S,321
Q9SQ69,Cytoplasm,S,321
A7E2U8,Cytoplasm,S,309
Q692V3,Cytoplasm,S,1318
Q692V3-2,Cytoplasm,S,600
Q692V3-4,Cytoplasm,S,409
P36022,Cytoplasm,S,4092
Q9SQ67,Cytoplasm,S,321
Q9D291,Cytoplasm,S,194
P07347,Cytoplasm,S,238
Q8VED2,Cytoplasm,S,215
Q6W2J0,Cytoplasm,S,347
P80405,Cytoplasm,S,201
Q03690,Cytoplasm,S,1277
Q9UPY8,Cytoplasm,S,281
P42843,Cytoplasm,S,763
Q5GIS3,Cytoplasm,S,341
P05982,Cytoplasm,S,274
Q9UPY3,Cytoplasm,S,1922
O74407,Cytoplasm,S,580
Q9BKZ9,Cytoplasm,S,665
P36154,Cytoplasm,S,155
P33309,Cytoplasm,S,386
Q5VSL9,Cytoplasm,S,837
Q9UDY6,Cytoplasm,S,481
Q9VHP0,Cytoplasm,S,798
Q12000,Cytoplasm,S,345
Q12125,Cytoplasm,S,312
Q9ULQ0,Cytoplasm,S,834
P36086,Cytoplasm,S,256
Q7M3S9,Cytoplasm,S,943
Q9NWZ3,Cytoplasm,S,460
O59667,Cytoplasm,S,417
Q8LAH7,Cytoplasm,S,372
Q9D5J6,Cytoplasm,S,476
P50109,Cytoplasm,S,593
Q9VUX2,Cytoplasm,S,1226
Q03002,Cytoplasm,S,865
Q06523,Cytoplasm,S,435
P25040,Cytoplasm,S,408
O74452,Cytoplasm,S,561
Q04925,Cytoplasm,S,415
P49638,Cytoplasm,S,278
P38063,Cytoplasm,S,326
Q42403,Cytoplasm,S,118
Q54I79,Cytoplasm,S,383
Q9R1S0,Cytoplasm,S,204
Q9P0W8,Cytoplasm,S,599
Q95XR4,Cytoplasm,S,690
Q96K76,Cytoplasm,S,1375
Q9HDW6,Cytoplasm,S,394
Q06146,Cytoplasm,S,321
P34402,Cytoplasm,S,808
P34370,Cytoplasm,S,398
Q9U1M8,Cytoplasm,S,2357
F4HPR5,Cytoplasm,S,817
P47089,Cytoplasm,S,198
Q9SMT7,Cytoplasm,S,514
O13839,Cytoplasm,S,722
O74534,Cytoplasm,S,639
P30305,Cytoplasm,S,580
Q9LTR9,Cytoplasm,S,434
P40516,Cytoplasm,S,257
P39939,Cytoplasm,S,119
P48524,Cytoplasm,S,976
Q12676,Cytoplasm,S,427
Q6DGF4,Cytoplasm,S,223
Q9UBG3,Cytoplasm,S,495
A9QM73,Cytoplasm,S,1059
